property_type,site_improvement,current_use,latitude,longitude,provice_city,district_khan,commune_sangkat,land_width,land_length,land_area_by_title_deed,topography,site_position,unit_type,building_name,width,length,no_of_storey,total_bedroom,total_bathroom,total,per_sqm,updated_sync_modify
Shophouse/Commercial,,,11.5445057,104.9094653,,Meanchey,,,,,,,,,,,0,0,0,490,490,
Condo/Apartment,,,11.54448434,104.9094534,,Meanchey,,,,,,Corner,,,,,0,1,1,600,600,
House/Villa,,,11.53342173,104.9100084,,Meanchey,,,,,,,,,,,2,0,8,1300000,1300000,
Condo/Apartment,,,11.59637918,104.932732,,Chroy Changvar,,,,,,,,,,,0,2,1,700,700,
Condo/Apartment,,,11.56227514,104.9190903,,Boeng Keng Kang,,,,,,,,,,,0,1,1,800,800,
Commercial,,Office,11.57,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,7,,,5,,"Monday, June 28, 2021"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,138615,,"Sunday, February 9, 2020"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,15,,"Tuesday, February 22, 2022"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,5,,,15,,"Tuesday, December 1, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,190300,,"Friday, February 7, 2020"
Commercial,,RetailProject,11.55,104.88,Phnom Penh,Sen Sok,,,,,,,,,,,3,,,,,"Wednesday, November 25, 2020"
Condo/Apartment,,,11.56854998,104.9257528,,Doun Penh,,,,,,,,,,,0,1,1,1600,1600,
Condo/Apartment,,,11.59039109,104.8739114,,SenSok,,,,,,Corner,,,,,20,1,2,600,600,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,,,,89000,,"Wednesday, May 20, 2020"
Commercial,,Office,11.56,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,15,,"Wednesday, February 9, 2022"
Commercial,,Office,11.57,104.88,Phnom Penh,Sen Sok,,,,,,,,,,,4,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,11.55231414,104.9245306,,Boeng Keng Kang,,,,,,,,,,,15,3,3,1900,1900,
Condo/Apartment,,,11.59339465,104.8746733,,SenSok,,,,,,,,,,,20,1,2,600,600,
Commercial,,Office,11.55,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,55,,,15,,"Friday, January 28, 2022"
Residential,,Shophouse,11.54,104.86,Phnom Penh,Meanchey,,,,,,,,,,,4,,,435510,,"Sunday, June 20, 2021"
House/Villa,,,11.50135345,104.8795877,,Dangkao,,,,,,Corner,,,,,3,4,5,120000,120000,
Condo/Apartment,,,11.59024871,104.8738307,,SenSok,,,,,,Middle,,,,,20,1,1,600,600,
Condo/Apartment,,,11.56052033,104.925938,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1900,1900,
Condo/Apartment,,,11.56055351,104.9259401,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1100,1100,
Condo/Apartment,,,11.54440966,104.907662,,Meanchey,,,,,,Middle,,,,,0,1,1,350,350,
Condo/Apartment,,,11.59043864,104.8738278,,SenSok,,,,,,Middle,,,,,20,1,1,650,650,
Condo/Apartment,,,11.53959738,104.9253742,,Chamkarmon,,,,,,,,,,,0,2,2,1850,1850,
Commercial,,Office,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,4,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,13.36535932,103.8606926,,Siem Reap City,,,,,,Middle,,,,,0,2,2,500,500,
Residential,,Condominium,11.55,104.87,Phnom Penh,Sen Sok,,,,,,,,,,,18,,,85000,,"Wednesday, May 26, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,328000,,"Sunday, April 4, 2021"
Condo/Apartment,,,11.52935036,104.9288038,,Meanchey,,,,,,,,,,,0,2,1,110000,110000,
Condo/Apartment,,,11.56176174,104.9256485,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1600,1600,
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,,,"Tuesday, August 25, 2020"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,162355,,"Friday, February 7, 2020"
Commercial,,Office,11.56,104.93,Phnom Penh,Daun Penh,,,,,,,,,,,12,,,3377,,"Wednesday, September 2, 2020"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,,,"Friday, September 11, 2020"
Condo/Apartment,,,11.59542811,104.9327531,,Chroy Changvar,,,,,,Middle,,,,,0,1,1,550,550,
Residential,,SingleVilla,11.55,104.93,Phnom Penh,Meanchey,,,,,,,,,,,,,,346800,,"Monday, June 7, 2021"
Condo/Apartment,,,11.54376716,104.9274903,,Chamkarmon,,,,,,,,,,,0,2,2,1700,1700,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,22,,,279176,,"Thursday, February 27, 2020"
Condo/Apartment,,,11.55751823,104.9273291,,Boeng Keng Kang,,,,,,,,,,,0,1,2,1800,1800,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,45,,,153405,,"Saturday, July 18, 2020"
Condo/Apartment,,,11.56011148,104.9278145,,Boeng Keng Kang,,,,,,,,,,,0,1,1,650,650,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,29,,,204908,,"Thursday, November 26, 2020"
Condo/Apartment,,,11.54431092,104.9075822,,Meanchey,,,,,,Middle,,,,,15,1,1,500,500,
Condo/Apartment,,,11.60276926,104.8977131,,Russey Keo,,,,,,Corner,,,,,20,1,1,550,550,
Commercial,,Office,11.55,104.93,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,8500,,"Friday, July 17, 2020"
Commercial,,RetailProject,11.57,104.93,Phnom Penh,Daun Penh,,,,,,,,,,,4,,,,,"Tuesday, November 3, 2020"
Commercial,,RetailProject,11.59,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,7,,,,,"Tuesday, November 3, 2020"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,126000,,"Thursday, May 20, 2021"
Commercial,,Office,11.57,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,16,,,,,"Friday, April 17, 2020"
Commercial,,Office,11.57,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,8,,,10,,"Friday, October 8, 2021"
Condo/Apartment,,,11.54368917,104.927388,,Chamkarmon,,,,,,,,,,,0,1,1,1150,1150,
Residential,,Land,11.46,104.97,Battambang,Ta Khmau,,,,,,,,,,,,,,239760,,"Wednesday, June 16, 2021"
Commercial,,Office,11.57,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,29,,,,,"Monday, January 31, 2022"
Residential,,StandAloneVilla,11.47,104.94,Phnom Penh,Meanchey,,,,,,,,,,,2,,,680000,,"Friday, January 21, 2022"
Commercial,,Office,11.56,104.88,Phnom Penh,Sen Sok,,,,,,,,,,,10,,,,,"Wednesday, June 17, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,15,,,126000,,"Thursday, March 5, 2020"
Condo/Apartment,,,11.57927987,104.8894396,,Toul Kork,,,,,,,,,,,14,2,3,1200,1200,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,250000,,"Thursday, August 19, 2021"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,11,,,23,,"Thursday, September 30, 2021"
Residential,,Condominium,11.55,104.93,Sihanoukville,,,,,,,,,,,,,,,57318,,"Sunday, February 9, 2020"
Residential,,SingleVilla,11.54,104.89,Phnom Penh,Chbar Ampov,,,,,,,,,,,,,,470000,,"Friday, February 7, 2020"
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,16,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,11.56214524,104.9239265,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1000,1000,
Commercial,,CommercialVilla,35,37,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,8000,,"Sunday, November 15, 2020"
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,26,,,192350,,"Tuesday, September 21, 2021"
Condo/Apartment,,,11.56207952,104.923775,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1300,1300,
Condo/Apartment,,,11.55906457,104.9177649,,Boeng Keng Kang,,,,,,,,,,,0,1,1,600,600,
Commercial,,Office,11.559,104.9195,Phnom Penh,7 Makara,,,,,,,,,,,15,,,24,,"Monday, February 7, 2022"
Commercial,,Office,11.549,104.9295,Phnom Penh,Chamkarmon,,,,,,,,,,,15,,,,,"Wednesday, May 20, 2020"
Commercial,,Office,11.59,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,6,,,18,,"Tuesday, January 25, 2022"
Residential,,Condominium,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,230000,,"Sunday, June 20, 2021"
Commercial,,Office,11.599,104.8795,Phnom Penh,Sen Sok,,,,,,,,,,,4,,,1500,,"Friday, May 7, 2021"
Condo/Apartment,,,11.5889601,104.9027177,,Toul Kork,,,,,,,,,,,0,2,2,300000,300000,
Condo/Apartment,,,11.56227239,104.9190585,,Boeng Keng Kang,,,,,,,,,,,0,2,1,1000,1000,
Residential,,TwinVilla,11.6,104.89,Phnom Penh,Russey Keo,,,,,,,,,,,,,,380000,,"Friday, June 5, 2020"
Condo/Apartment,,,11.59339465,104.8746733,,SenSok,,,,,,,,,,,20,2,3,1600,1600,
Condo/Apartment,,,11.55338293,104.9303529,,Chamkarmon,,,,,,,,,,,0,1,1,120000,120000,
Commercial,,Office,11.58,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,11,,,12,,"Thursday, September 23, 2021"
Commercial,,Office,11.57,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,4,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,11.60361004,104.8958248,,Russey Keo,,,,,,Middle,,,,,20,1,1,550,550,
Commercial,,Shophouse,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,9,,,3174449,,"Wednesday, April 28, 2021"
Commercial,,CommercialBuilding,11.56,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,3,,,12000,,"Tuesday, May 11, 2021"
Condo/Apartment,,,11.5444393,104.9076231,,Meanchey,,,,,,Corner,,,,,0,1,1,600,600,
Condo/Apartment,,,11.57462032,104.892718,,Toul Kork,,,,,,,,,,,0,2,2,151300,1700,
Condo/Apartment,,,11.54661821,104.9188448,,Chamkarmon,,,,,,,,,,,0,2,2,1350,1350,
Commercial,,Office,11.56,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,11,,,,,"Friday, April 10, 2020"
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,10,,,35000,,"Wednesday, February 9, 2022"
Residential,,Condominium,11.55,104.93,Phnom Penh,7 Makara,,,,,,,,,,,39,,,210000,,"Wednesday, March 25, 2020"
Condo/Apartment,,,11.5585457,104.9303686,,Chamkarmon,,,,,,,,,,,0,2,2,1000,1000,
Condo/Apartment,,,11.59272201,104.8746733,,SenSok,,,,,,,,,,,20,1,2,600,600,
Condo/Apartment,,,11.56227348,104.9190698,,Boeng Keng Kang,,,,,,,,,,,0,3,2,2650,2650,
Condo/Apartment,,,11.59771819,104.8737981,,SenSok,,,,,,Corner,,,,,21,1,2,104000,104000,
Residential,,Condominium,11.569,104.9095,Phnom Penh,Meanchey,,,,,,,,,,,51,,,189990,,"Wednesday, April 22, 2020"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,11.55905574,104.9177801,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1100,1100,
Commercial,,Office,11.52,104.93,Phnom Penh,Meanchey,,,,,,,,,,,6,,,8,,"Monday, September 27, 2021"
Condo/Apartment,,,11.59049846,104.873831,,SenSok,,,,,,,,,,,20,1,2,650,650,
Condo/Apartment,,,11.6017603,104.8977131,,Russey Keo,,,,,,Middle,,,,,20,1,1,600,600,
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,4,,,28,,"Wednesday, December 1, 2021"
Condo/Apartment,,,13.36536721,103.8606989,,Siem Reap City,,,,,,Corner,,,,,4,3,2,95000,95000,
Residential,,Condominium,11.59,104.87,Phnom Penh,Sen Sok,,,,,,,,,,,20,,,462000,,"Monday, March 30, 2020"
Commercial,,Office,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,2,,,60,,"Wednesday, June 3, 2020"
Condo/Apartment,,,11.52930631,104.9287066,,Meanchey,,,,,,Middle,,,,,0,1,1,89000,89000,
Residential,,Condominium,11.55,104.93,Sihanoukville,,,,,,,,,,,,,,,64800,,"Sunday, February 9, 2020"
Residential,,Condominium,11.57,104.85,Phnom Penh,Sen Sok,,,,,,,,,,,10,,,155700,,"Thursday, April 29, 2021"
Commercial,,Office,11.539,104.8995,Phnom Penh,Chamkarmon,,,,,,,,,,,10,,,,,"Wednesday, May 20, 2020"
Condo/Apartment,,,11.52920501,104.9287754,,Meanchey,,,,,,Middle,,,,,0,1,1,650,650,
Residential,,ServicedApartment,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,9,,,2200,,"Tuesday, December 28, 2021"
Commercial,,Office,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,20,,,,,"Wednesday, March 3, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,28,,,172800,,"Tuesday, October 13, 2020"
Condo/Apartment,,,13.36534283,103.8606822,,Siem Reap City,,,,,,Middle,,,,,0,1,2,280,280,
Condo/Apartment,,,11.55657897,104.9232208,,Boeng Keng Kang,,,,,,Middle,,,,,0,1,1,900,900,
Condo/Apartment,,,11.59139528,104.9382944,,Chroy Changvar,,,,,,Middle,,,,,0,2,2,0,1400,
Commercial,,Land,13.359,103.8495,Siem Reap,,,,,,,,,,,,,,,12000,,"Tuesday, April 20, 2021"
Condo/Apartment,,,11.56053719,104.9271571,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1100,1100,
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,14,,"Tuesday, September 8, 2020"
Condo/Apartment,,,11.56210359,104.923774,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1000,1000,
Condo/Apartment,,,11.58561155,104.9033554,,Toul Kork,,,,,,,,,,,0,2,2,550,550,
Condo/Apartment,,,11.59563359,104.9324427,,Chroy Changvar,,,,,,Middle,,,,,0,1,1,550,550,
Commercial,,Office,11.539,104.9095,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,15,,"Monday, February 21, 2022"
Commercial,,Office,11.55,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,6,,,13,,"Monday, February 14, 2022"
Commercial,,Office,11.57,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,10,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,13.36536927,103.8606942,,Siem Reap City,,,,,,Middle,,,,,0,2,2,500,500,
Condo/Apartment,,,11.49816758,104.9228137,,Meanchey,,,,,,,,,,,23,2,1,700,700,
Condo/Apartment,,,11.59024682,104.8711361,,SenSok,,,,,,,,,,,20,1,2,600,600,
Commercial,,Office,11.559,104.8995,Phnom Penh,Toul Kork,,,,,,,,,,,4,,,,,"Wednesday, May 20, 2020"
Commercial,,Office,11.55,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,11,,,6800,,"Friday, February 12, 2021"
Condo/Apartment,,,11.53958269,104.9253895,,Chamkarmon,,,,,,,,,,,0,1,1,550,550,
Commercial,,Warehousing,11.54,104.87,Phnom Penh,Sen Sok,,,,,,,,,,,,,,6400,,"Tuesday, November 23, 2021"
Residential,,TwinVilla,11.44,104.9,Phnom Penh,Dangkao,,,,,,,,,,,,,,273800,,"Wednesday, June 23, 2021"
Residential,,Condominium,11.57,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,29,,,90000,,"Tuesday, June 30, 2020"
Condo/Apartment,,,11.5979162,104.8738362,,SenSok,,,,,,Corner,,,,,20,1,2,0,120000,
Condo/Apartment,,,11.58841279,104.8929017,,Toul Kork,,,,,,,,,,,0,1,1,900,900,
Commercial,,RetailProject,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,4,,,,,"Tuesday, November 3, 2020"
Commercial,,Office,11.55,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,12,,,,,"Wednesday, June 17, 2020"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,7,,,,,"Wednesday, February 26, 2020"
Commercial,,Industrial,11.42,104.98,Battambang,Ta Khmau,,,,,,,,,,,,,,5600,,"Friday, February 18, 2022"
Commercial,,Office,11.55,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,41,,,,,"Friday, October 8, 2021"
Commercial,,RetailProject,10.61,103.52,Sihanoukville,,,,,,,,,,,,5,,,,,"Tuesday, June 8, 2021"
Condo/Apartment,,,11.55780937,104.9301247,,Chamkarmon,,,,,,,,,,,11,1,1,500,500,
Commercial,,Office,11.55,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,46,,,25,,"Friday, October 8, 2021"
Condo/Apartment,,,11.59087225,104.8708109,,SenSok,,,,,,,,,,,20,1,2,600,600,
Condo/Apartment,,,11.57557068,104.9242843,,Doun Penh,,,,,,,,,,,0,2,2,3500,3500,
Commercial,,Office,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,3,,,15,,"Wednesday, September 29, 2021"
Commercial,,RetailProject,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,392143,,"Thursday, July 1, 2021"
Commercial,,Land,13.599,103.9495,Siem Reap,Banteay Srei,,,,,,,,,,,,,,64562,,"Wednesday, April 22, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Toul Kork,,,,,,,,,,,,,,180000,,"Friday, March 13, 2020"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,17,,,15,,"Tuesday, February 15, 2022"
Commercial,,Office,11.55,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,22,,,16,,"Tuesday, November 23, 2021"
Commercial,,Office,11.55,104.93,Phnom Penh,7 Makara,,,,,,,,,,,7,,,20,,"Thursday, September 30, 2021"
Condo/Apartment,,,11.59048236,104.8738419,,SenSok,,,,,,,,,,,20,2,3,1200,1200,
Condo/Apartment,,,11.59044858,104.8738156,,SenSok,,,,,,Middle,,,,,20,1,1,650,650,
Commercial,,Office,11.54,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,9,,,,,"Tuesday, April 27, 2021"
Condo/Apartment,,,11.56227591,104.9190587,,Boeng Keng Kang,,,,,,,,,,,0,4,2,4100,4100,
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,20,,,25,,"Monday, February 21, 2022"
Commercial,,Office,11.58,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,12,,,8,,"Wednesday, September 29, 2021"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,39,,,28,,"Tuesday, January 11, 2022"
Residential,,Condominium,11.58,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,31,,,82900,,"Tuesday, April 27, 2021"
Land,,,13.36536791,103.8606727,,Siem Reap City,,,,,,Middle,,,,,0,0,0,962220,12,
Condo/Apartment,,,11.59051482,104.8738552,,SenSok,,,,,,,,,,,20,2,3,1200,1200,
Commercial,,Industrial,11.5,104.61,Kampong Speu,Samraong Tong,,,,,,,,,,,,,,,,"Monday, January 11, 2021"
Condo/Apartment,,,11.58425549,104.8971338,,Toul Kork,,,,,,Middle,,,,,9,1,1,880,880,
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,9,,,,,"Wednesday, February 26, 2020"
Condo/Apartment,,,13.36537985,103.860693,,Siem Reap City,,,,,,Middle,,,,,0,1,1,400,400,
Condo/Apartment,,,11.57980921,104.8946923,,Toul Kork,,,,,,,,,,,0,1,1,750,750,
Shophouse/Commercial,,,11.54446556,104.9094373,,Meanchey,,,,,,,,,,,0,0,0,270,270,
Condo/Apartment,,,13.36536759,103.8606801,,Siem Reap City,,,,,,Middle,,,,,0,1,1,200,200,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,12,,,39663,,"Wednesday, September 22, 2021"
Condo/Apartment,,,11.56039021,104.9406285,,Chamkarmon,,,,,,,,,,,71,1,1,99998,99998,
Condo/Apartment,,,11.58233763,104.8922432,,Toul Kork,,,,,,,,,,,0,1,2,800,800,
Condo/Apartment,,,11.56279656,104.9238642,,Boeng Keng Kang,,,,,,,,,,,0,1,1,900,900,
Commercial,,Office,11.559,104.9195,Phnom Penh,Daun Penh,,,,,,,,,,,5,,,20,,"Wednesday, February 2, 2022"
Commercial,,Office,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,15,,,,,"Wednesday, February 23, 2022"
Commercial,,Office,11.57,104.91,Phnom Penh,7 Makara,,,,,,,,,,,7,,,17,,"Saturday, June 5, 2021"
Commercial,,Office,11.569,104.9295,Phnom Penh,Daun Penh,,,,,,,,,,,21,,,28,,"Monday, February 21, 2022"
Condo/Apartment,,,11.6017603,104.8977131,,Russey Keo,,,,,,Middle,,,,,20,1,1,600,600,
Condo/Apartment,,,11.57923323,104.8885568,,Toul Kork,,,,,,Middle,,,,,0,2,2,130000,130000,
Commercial,,Office,11.59,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,12,,,17712,,"Tuesday, October 19, 2021"
House/Villa,,,13.36536452,103.8606841,,Siem Reap City,,,,,,Middle,,,,,2,4,5,350000,350000,
Condo/Apartment,,,11.59552589,104.9326049,,Chroy Changvar,,,,,,Middle,,,,,0,1,1,550,550,
Residential,,Condominium,11.55,104.93,Phnom Penh,Daun Penh,,,,,,,,,,,17,,,340000,,"Wednesday, April 1, 2020"
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,,,"Friday, February 12, 2021"
Condo/Apartment,,,11.57137177,104.9224637,,Doun Penh,,,,,,,,,,,0,2,2,1200,1200,
Residential,,StandAloneVilla,11.59,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,2,,,2500,,"Tuesday, January 18, 2022"
Residential,,Condominium,11.55,104.92,Phnom Penh,,,,,,,,,,,,32,,,250000,,"Friday, March 13, 2020"
Condo/Apartment,,,11.59051258,104.8738366,,SenSok,,,,,,Corner,,,,,20,2,3,220400,220400,
Residential,,LinkVilla,10.63,104.19,Kampot,,,,,,,,,,,,2,,,81388,,"Tuesday, January 18, 2022"
Commercial,,Warehousing,11.51,104.85,Phnom Penh,Por Senchey,,,,,,,,,,,1,,,7000,,"Tuesday, November 16, 2021"
Commercial,,Industrial,11.41,104.79,Battambang,Kandal Stueng,,,,,,,,,,,,,,,,"Monday, January 11, 2021"
Residential,,Land,11.58,104.86,Phnom Penh,Sen Sok,,,,,,,,,,,,,,680000,,"Wednesday, September 22, 2021"
Condo/Apartment,,,11.57954717,104.8931922,,Toul Kork,,,,,,Middle,,,,,0,1,1,60000,60000,
Commercial,,Office,11.56,104.92,Phnom Penh,7 Makara,,,,,,,,,,,25,,,2200,,"Friday, April 9, 2021"
Condo/Apartment,,,11.55659088,104.9274968,,Boeng Keng Kang,,,,,,,,,,,0,1,1,1600,1600,
Condo/Apartment,,,11.60108767,104.8983998,,Russey Keo,,,,,,Middle,,,,,20,1,1,550,550,
Residential,,Condominium,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,,,,168000,,"Sunday, February 9, 2020"
Condo/Apartment,,,11.53032331,104.9275848,,Meanchey,,,,,,Middle,,,,,0,3,3,334950,1650,
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,2,,,,,"Monday, July 6, 2020"
Condo/Apartment,,,11.53190043,104.918828,,Meanchey,,,,,,,,,,,27,1,1,50000,50000,
Residential,,TwinVilla,11.55,104.87,Phnom Penh,Sen Sok,,,,,,,,,,,3,,,239000,,"Thursday, August 19, 2021"
Condo/Apartment,,,11.49816758,104.9228137,,Meanchey,,,,,,,,,,,23,2,1,650,650,
Commercial,,Office,11.56,104.92,Phnom Penh,7 Makara,,,,,,,,,,,21,,,23,,"Friday, August 7, 2020"
Condo/Apartment,,,11.560717,104.9273385,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1200,1200,
Condo/Apartment,,,11.5904945,104.8738337,,SenSok,,,,,,,,,,,20,1,2,650,650,
Condo/Apartment,,,11.54662634,104.918821,,Chamkarmon,,,,,,,,,,,0,1,1,1100,1100,
Commercial,,Office,11.55,104.91,Phnom Penh,Chamkarmon,,,,,,,,,,,7,,,,,"Wednesday, June 17, 2020"
Commercial,,RetailProject,11.58,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,2,,,,,"Tuesday, June 8, 2021"
Condo/Apartment,,,11.59070408,104.8708109,,SenSok,,,,,,,,,,,20,1,2,650,650,
Condo/Apartment,,,11.53046989,104.9285402,,Meanchey,,,,,,Middle,,,,,0,2,1,1300,1300,
Condo/Apartment,,,11.5904314,104.873811,,SenSok,,,,,,Corner,,,,,20,1,1,600,600,
Commercial,,Office,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,9,,,15,,"Monday, September 27, 2021"
Commercial,,RetailProject,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,,,"Tuesday, November 3, 2020"
Commercial,,Office,11.55,104.9,Phnom Penh,Chamkarmon,,,,,,,,,,,18,,,15,,"Wednesday, April 15, 2020"
Residential,,Condominium,11.54,104.91,Phnom Penh,Meanchey,,,,,,,,,,,23,,,195000,,"Friday, July 2, 2021"
Condo/Apartment,,,11.58795846,104.8913781,,Toul Kork,,,,,,,,,,,0,2,2,2900,2900,
Commercial,,Office,11.54,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,9000,,"Tuesday, August 24, 2021"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,20,,,31,,"Friday, May 7, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,41,,,80245,,"Monday, March 16, 2020"
Condo/Apartment,,,11.58788378,104.8914115,,Toul Kork,,,,,,,,,,,0,3,2,4000,4000,
Condo/Apartment,,,11.55472567,104.9191778,,Boeng Keng Kang,,,,,,,,,,,0,1,1,850,850,
Land,,,13.36537719,103.8606728,,Siem Reap City,,,,,,Middle,,,,,0,0,0,6348370,70,
Condo/Apartment,,,11.6026011,104.8982281,,Russey Keo,,,,,,,,,,,0,1,1,600,600,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,16,,,312800,,"Friday, February 28, 2020"
Commercial,,Office,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,7,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,13.36539269,103.8606899,,Siem Reap City,,,,,,Middle,,,,,3,1,1,400,400,
House/Villa,,,13.36536307,103.8606918,,Siem Reap City,,,,,,Middle,,,,,0,8,10,1300000,1300000,
Hotel/Resort,,,13.36536249,103.8606616,,Siem Reap City,,,,,,Middle,,,,,0,32,34,3450000,3450000,
