property_type,site_improvement,current_use,latitude,longitude,provice_city,district_khan,commune_sangkat,land_width,land_length,land_area_by_title_deed,topography,site_position,unit_type,building_name,width,length,no_of_storey,total_bedroom,total_bathroom,total,per_sqm,updated_sync_modify
House/Villa,,,11.4902684,104.8943331,,Dangkao,,5,16,,,Middle,,,,,3,3,4,92000,92000,
Land,,,13.36536243,103.8606916,,Siem Reap City,,25,18,,,Middle,,,,,0,0,0,155050,350,
Shophouse/Commercial,,,13.36537548,103.8606791,,Siem Reap City,,4,22,,,Middle,,,,,3,4,5,198500,198500,
Land,,,13.36525786,103.8605854,,Siem Reap City,,25,54,,,Middle,,,,,3,25,27,1810900,1300,
House/Villa,,,13.36537449,103.8606869,,Siem Reap City,,12,14,,,Middle,,,,,0,2,2,250,250,
Land,,,13.36537094,103.8606863,,Siem Reap City,,25,40,,,Middle,,,,,0,0,0,167300,175,
House/Villa,,,13.36536733,103.860675,,Siem Reap City,,30,20,,,Middle,,,,,2,3,4,500000,500000,
Hotel/Resort,,,13.36538259,103.8606702,,Siem Reap City,,12,24,,,Corner,,,,,3,10,8,650000,650000,
Land,,,13.36537062,103.8606792,,Siem Reap City,,30,60,,,Middle,,,,,0,0,0,990000,550,
House/Villa,,,13.36536447,103.8606915,,Siem Reap City,,12,16,,,Middle,,,,,0,2,2,300,300,
Land,,,13.36537423,103.8606763,,Siem Reap City,,22,53,,,Middle,,,,,0,0,0,186660,170,
House/Villa,,,13.36536841,103.8606983,,Siem Reap City,,4,15,,,Middle,,,,,0,2,3,95000,95000,
Hotel/Resort,,,13.36536013,103.8606959,,Siem Reap City,,15,30,,,Middle,,,,,0,6,8,390000,390000,
House/Villa,,,13.36536876,103.8606845,,Siem Reap City,,10,20,,,Corner,,,,,0,3,3,115000,115000,
House/Villa,,,13.3653648,103.8606946,,Siem Reap City,,10,21,,,Middle,,,,,2,4,4,150000,150000,
Land,,,13.36536218,103.860695,,Siem Reap City,,22,45,,,Middle,,,,,0,0,0,181400,200,
House/Villa,,,13.36536248,103.8606876,,Siem Reap City,,11,17,,,Middle,,,,,2,4,3,190000,190000,
House/Villa,,,13.36346072,103.9475368,,Prasat Bakong,,4,10,,,,,,,,2,2,1,75000,75000,
House/Villa,,,13.36308153,103.8655693,,Siem Reap City,,14,24,,,Middle,,,,,2,4,5,345000,345000,
House/Villa,,,13.36536186,103.8606787,,Siem Reap City,,8,22,,,Middle,,,,,0,3,3,550,550,
House/Villa,,,13.36536279,103.8606777,,Siem Reap City,,4,14,,,Corner,,,,,2,2,3,77000,77000,
House/Villa,,,13.36524517,103.860568,,Siem Reap City,,10,20,,,Middle,,,,,1,1,1,60000,60000,
Condo/Apartment,,,13.36536966,103.8606728,,Siem Reap City,,13,31,,,Middle,,,,,4,12,13,550000,550000,
House/Villa,,,13.36536408,103.8606948,,Siem Reap City,,12,20,,,Corner,,,,,2,5,6,150000,150000,
House/Villa,,,13.36533783,103.8606584,,Siem Reap City,,14,36,,,Middle,,,,,1,3,2,165000,165000,
House/Villa,,,13.36537652,103.8606882,,Siem Reap City,,4,15,,,Middle,,,,,2,2,3,250,250,
Land,,,13.36536153,103.8606907,,Siem Reap City,,9,35,,,Middle,,,,,0,0,0,50000,50000,
Land,,,13.36535657,103.8606739,,Siem Reap City,,50,322,,,Middle,,,,,0,0,0,4002500,25,
Hotel/Resort,,,13.36536847,103.8607024,,Siem Reap City,,30,43,,,Middle,,,,,0,8,10,850000,850000,
Shophouse/Commercial,,,13.36536883,103.8606872,,Siem Reap City,,12,26,,,Middle,,,,,3,0,4,1248,4,
House/Villa,,,13.36534985,103.8606821,,Siem Reap City,,13,21,,,Middle,,,,,2,2,3,95000,95000,
House/Villa,,,13.36535879,103.8606836,,Siem Reap City,,10,22,,,Middle,,,,,2,3,4,700,700,
House/Villa,,,13.36523736,103.860594,,Siem Reap City,,8,20,,,Middle,,,,,2,3,3,123000,123000,
House/Villa,,,13.36536497,103.8606887,,Siem Reap City,,30,40,,,Middle,,,,,0,3,2,535000,535000,
House/Villa,,,13.36536438,103.8606986,,Siem Reap City,,10,20,,,Middle,,,,,2,4,5,120000,120000,
House/Villa,,,13.36536191,103.8607026,,Siem Reap City,,6,16,,,Middle,,,,,0,2,3,65000,65000,
Hotel/Resort,,,13.36537436,103.8606876,,Siem Reap City,,11,35,,,Middle,,,,,5,28,31,3500000,3500000,
House/Villa,,,13.36535382,103.8606948,,Siem Reap City,,18,40,,,Middle,,,,,2,6,6,550000,550000,
House/Villa,,,13.3653359,103.8607009,,Siem Reap City,,4,20,,,Middle,,,,,2,3,3,130000,130000,
Land,,,13.36536207,103.8606923,,Siem Reap City,,10,24,,,Middle,,,,,0,0,0,58000,58000,
Commercial,,CommercialBuilding,11.57,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,8,,,11,,"Saturday, June 5, 2021"
Condo/Apartment,,,11.55232537,104.9245658,,Boeng Keng Kang,,,,,,,,,,,0,2,2,1350,1350,
Commercial,,ServicedOffice,11.55,104.94,Phnom Penh,Chamkarmon,,,,,,,,,,,33,,,,,"Monday, July 6, 2020"
Commercial,,Office,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,5,,,15000,,"Wednesday, February 26, 2020"
Condo/Apartment,,,11.49816758,104.9228137,,Meanchey,,,,,,,,,,,23,1,1,500,500,
Condo/Apartment,,,11.56134469,104.9229788,,Boeng Keng Kang,,,,,,,,,,,9,1,1,750,750,
Residential,,Condominium,11.57,104.9,Phnom Penh,Daun Penh,,,,,,,,,,,69,,,129000,,"Wednesday, March 4, 2020"
Condo/Apartment,,,11.54461801,104.9198461,,Chamkarmon,,,,,,,,,,,0,1,1,400,400,
Condo/Apartment,,,11.56324931,104.9408001,,Chamkarmon,,,,,,,,,,,71,1,1,99998,99998,
Condo/Apartment,,,11.59041806,104.8738916,,SenSok,,,,,,Corner,,,,,0,1,2,600,600,
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,43,,,128674,,"Tuesday, September 1, 2020"
Commercial,,Office,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,10,,,,,"Wednesday, June 17, 2020"
Commercial,,Office,11.549,104.9195,Phnom Penh,Chamkarmon,,,,,,,,,,,25,,,16,,"Monday, February 21, 2022"
Condo/Apartment,,,11.57200533,104.8991905,,Toul Kork,,,,,,Middle,,,,,0,2,2,750,750,
Condo/Apartment,,,13.36534184,103.8606985,,Siem Reap City,,,,,,Middle,,,,,0,2,1,600,600,
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,15,,"Tuesday, December 1, 2020"
Condo/Apartment,,,11.55653626,104.9275676,,Boeng Keng Kang,,,,,,,,,,,0,2,2,2400,2400,
Condo/Apartment,,,11.5297406,104.9284257,,Meanchey,,,,,,Corner,,,,,0,2,1,113000,113000,
Condo/Apartment,,,11.53026371,104.9276132,,Meanchey,,,,,,Middle,,,,,23,2,1,115000,115000,
Residential,,Condominium,11.55,104.93,Phnom Penh,Sen Sok,,,,,,,,,,,9,,,382470,,"Tuesday, March 31, 2020"
Residential,,Condominium,11.59,104.94,Phnom Penh,Chroy Changvar,,,,,,,,,,,46,,,208000,,"Thursday, February 27, 2020"
Condo/Apartment,,,11.57464592,104.8927202,,Toul Kork,,,,,,,,,,,0,2,1,151300,1700,
Residential,,Condominium,13.37,103.85,Siem Reap,,,,,,,,,,,,3,,,178000,,"Tuesday, September 28, 2021"
Commercial,,Office,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,5,,,27500,,"Friday, July 16, 2021"
Commercial,,Office,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,6,,,30000,,"Wednesday, March 3, 2021"
Residential,,Condominium,11.53,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,47,,,65000,,"Thursday, January 14, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Russey Keo,,,,,,,,,,,32,,,188181,,"Monday, April 6, 2020"
Condo/Apartment,,,11.54436408,104.909455,,Meanchey,,,,,,Corner,,,,,0,1,1,69000,69000,
Commercial,,Office,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,3,,,,,"Wednesday, December 2, 2020"
Condo/Apartment,,,11.58558223,104.9033976,,Toul Kork,,,,,,,,,,,0,1,1,400,400,
Condo/Apartment,,,11.55932846,104.9375198,,Chamkarmon,,,,,,,,,,,0,1,1,650,650,
Condo/Apartment,,,13.36535737,103.8606955,,Siem Reap City,,,,,,Middle,,,,,0,1,1,500,500,
Condo/Apartment,,,11.60142399,104.8977131,,Russey Keo,,,,,,Middle,,,,,20,1,1,800,800,
Condo/Apartment,,,11.56277003,104.9238553,,Boeng Keng Kang,,,,,,,,,,,0,2,1,1350,1350,
Condo/Apartment,,,11.59106501,104.8931318,,Toul Kork,,,,,,,,,,,88,3,2,1200,1200,
Commercial,,Office,11.56,104.92,Phnom Penh,7 Makara,,,,,,,,,,,25,,,1800,,"Wednesday, November 3, 2021"
Residential,,TwinVilla,11.51,104.93,Phnom Penh,Chbar Ampov,,,,,,,,,,,2,,,575000,,"Thursday, February 24, 2022"
Condo/Apartment,,,11.59406728,104.8746733,,SenSok,,,,,,,,,,,20,2,3,1200,1200,
Condo/Apartment,,,11.5813514,104.8891184,,Toul Kork,,,,,,,,,,,11,3,3,1000,1000,
Commercial,,Office,11.54,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,15,,,,,"Tuesday, April 20, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Toul Kork,,,,,,,,,,,,,,109000,,"Tuesday, March 31, 2020"
Commercial,,Office,11.579,104.8995,Phnom Penh,Toul Kork,,,,,,,,,,,17,,,17,,"Monday, February 21, 2022"
Commercial,,RetailProject,11.56,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,,,,,,"Tuesday, February 9, 2021"
Residential,,Condominium,11.59,104.89,Phnom Penh,Sen Sok,,,,,,,,,,,26,,,56000,,"Wednesday, May 27, 2020"
Hotel/Resort,,,13.36536516,103.8606861,,Siem Reap City,,,,,,Middle,,,,,0,34,30,1700000,1700000,
Condo/Apartment,,,11.59009417,104.8713876,,SenSok,,,,,,,,,,,200,1,2,700,700,
Condo/Apartment,,,11.58852044,104.9012026,,Toul Kork,,,,,,,,,,,0,2,2,1200,1200,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,15,,,320000,,"Monday, March 16, 2020"
Residential,,Condominium,11.55,104.93,Phnom Penh,Sen Sok,,,,,,,,,,,19,,,84000,,"Friday, April 17, 2020"
Commercial,,CoworkingSpace,11.58,104.91,Phnom Penh,Daun Penh,,,,,,,,,,,2,,,132,,"Wednesday, May 26, 2021"
Condo/Apartment,,,11.56554408,104.9236338,,Doun Penh,,,,,,,,,,,0,1,2,800,800,
Residential,,SingleVilla,18,27,Phnom Penh,Meanchey,,,,,,,,,,,3,,,2500,,"Tuesday, June 2, 2020"
Condo/Apartment,,,11.52940481,104.9284693,,Meanchey,,,,,,Middle,,,,,0,2,1,600,600,
Residential,,Condominium,11.55,104.92,Phnom Penh,Chamkarmon,,,,,,,,,,,25,,,209000,,"Monday, March 23, 2020"
Commercial,,ServicedOffice,11.57,104.92,Phnom Penh,Daun Penh,,,,,,,,,,,1,,,150,,"Saturday, June 5, 2021"
Commercial,,Office,11.58,104.89,Phnom Penh,Toul Kork,,,,,,,,,,,7,,,,,"Wednesday, June 17, 2020"
Condo/Apartment,,,11.54854897,104.918955,,Chamkarmon,,,,,,,,,,,11,2,2,1100,1100,
Condo/Apartment,,,11.5442993,104.9094414,,Meanchey,,,,,,Middle,,,,,0,1,1,500,500,
Condo/Apartment,,,11.55891058,104.9177352,,Boeng Keng Kang,,,,,,Corner,,,,,0,2,2,750,750,
Condo/Apartment,,,11.56032058,104.9318281,,Chamkarmon,,,,,,,,,,,7,2,2,1350,1350,
Commercial,,Warehousing,11.58,104.84,Phnom Penh,Sen Sok,,,,,,,,,,,,,,905500,,"Monday, January 11, 2021"
Condo/Apartment,,,11.59048853,104.8738291,,SenSok,,,,,,,,,,,20,2,3,1200,1200,
Land,,,13.35956001,103.9504673,,Prasat Bakong,,,,,,,,,,,0,0,0,10000,100,
Condo/Apartment,,,13.36535382,103.8606911,,Siem Reap City,,,,,,Middle,,,,,0,1,1,300,300,
Condo/Apartment,,,11.59046671,104.8738482,,SenSok,,,,,,,,,,,0,1,2,600,600,
Condo/Apartment,,,11.60243294,104.8973698,,Russey Keo,,,,,,Middle,,,,,20,1,1,650,650,
Condo/Apartment,,,11.56151855,104.9306931,,Chamkarmon,,,,,,,,,,,0,2,2,1600,1600,
Residential,,Condominium,11.61,104.9,Phnom Penh,Sen Sok,,,,,,,,,,,12,,,77000,,"Wednesday, June 16, 2021"
Residential,,Condominium,11.56,104.91,Phnom Penh,7 Makara,,,,,,,,,,,,,,707200,,"Monday, March 16, 2020"
Condo/Apartment,,,11.57463139,104.8927006,,Toul Kork,,,,,,,,,,,0,1,1,900,900,
Residential,,Condominium,11.55,104.93,Phnom Penh,Chroy Changvar,,,,,,,,,,,,,,134916,,"Wednesday, July 14, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,,,,108000,,"Friday, February 7, 2020"
Residential,,Condominium,11.57,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,31,,,225000,,"Thursday, March 26, 2020"
Residential,,SingleVilla,11.55,104.93,Kampot,,,,,,,,,,,,,,,249000,,"Friday, March 12, 2021"
Residential,,Condominium,11.55,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,47,,,200000,,"Monday, March 16, 2020"
Residential,,Shophouse,11.55,104.93,Phnom Penh,Sen Sok,,,,,,,,,,,,,,150800,,"Thursday, March 5, 2020"
Residential,,Condominium,11.54,104.93,Phnom Penh,Chamkarmon,,,,,,,,,,,7,,,340000,,"Tuesday, September 21, 2021"
Condo/Apartment,,,11.56063282,104.9274309,,Boeng Keng Kang,,,,,,,,,,,0,1,1,700,700,
Commercial,,RetailProject,11.58,104.9,Phnom Penh,Toul Kork,,,,,,,,,,,20,,,,,"Tuesday, June 8, 2021"
Condo/Apartment,,,11.59044966,104.8738424,,SenSok,,,,,,Middle,,,,,0,1,2,600,600,
Hotel/Resort,,,13.36535377,103.8606996,,Siem Reap City,,,,,,Middle,,,,,3,26,28,1800000,1800000,
